city,date,player_of_match,team1,team2,toss_winner,toss_decision,winner,result,result_margin
Bangalore,18-04-2008,BB McCullum,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140
Chandigarh,19-04-2008,MEK Hussey,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33
Delhi,19-04-2008,MF Maharoof,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9
Kolkata,20-04-2008,DJ Hussey,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5
Mumbai,20-04-2008,MV Boucher,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5
Jaipur,21-04-2008,SR Watson,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6
Hyderabad,22-04-2008,V Sehwag,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9
Chennai,23-04-2008,ML Hayden,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6
Hyderabad,24-04-2008,YK Pathan,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3
Chandigarh,25-04-2008,KC Sangakkara,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66
Bangalore,26-04-2008,SR Watson,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7
Chennai,26-04-2008,JDP Oram,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9
Chandigarh,27-04-2008,SM Katich,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4
Mumbai,27-04-2008,AC Gilchrist,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10
Bangalore,28-04-2008,MS Dhoni,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13
Kolkata,29-04-2008,ST Jayasuriya,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7
Delhi,30-04-2008,GD McGrath,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10
Hyderabad,01-05-2008,SE Marsh,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7
Jaipur,01-05-2008,SA Asnodkar,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45
Chennai,02-05-2008,V Sehwag,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,wickets,8
Bangalore,03-05-2008,P Kumar,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,3
Chandigarh,03-05-2008,IK Pathan,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9
Jaipur,04-05-2008,Sohail Tanvir,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8
Mumbai,04-05-2008,SM Pollock,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,runs,29
Bangalore,05-05-2008,S Sreesanth,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6
Chennai,06-05-2008,AC Gilchrist,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7
Mumbai,07-05-2008,A Nehra,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,wickets,7
Delhi,08-05-2008,MS Dhoni,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4
Kolkata,08-05-2008,SC Ganguly,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5
Jaipur,09-05-2008,YK Pathan,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,wickets,8
Chennai,10-05-2008,L Balaji,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,runs,18
Hyderabad,11-05-2008,SC Ganguly,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23
Jaipur,11-05-2008,SR Watson,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,wickets,3
Chandigarh,12-05-2008,SE Marsh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,9
Kolkata,13-05-2008,Shoaib Akhtar,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,23
Mumbai,14-05-2008,ST Jayasuriya,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,9
